nombre,prices,"Beds, Bathroom, Square",links
"100 W 57th St #11R, New York, NY 10019","$215,000","1 bd,1 ba,900 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/ "
"2666 Miles Ave #P1, Bronx, NY 10465","$289,000","2 bds,2 ba,1,234 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2666-Miles-Ave-P1-Bronx-NY-10465/29849704_zpid/ "
"303 E 57th St APT 32B, New York, NY 10022","$445,000","2 bds,3 ba,1,800 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/ "
"100 W 57th St #4B, New York, NY 10019","$139,000","Studio,1 ba,600 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-57th-St-4B-New-York-NY-10019/121231367_zpid/ "
"100 W 57th St #19N, New York, NY 10019","$219,000","1 bd,1 ba,900 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-57th-St-19N-New-York-NY-10019/72519071_zpid/ "
"14 W 184th St, Bronx, NY 10468","$399,000","5 bds,4 ba,2,268 sqft- Multi-family home for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/14-W-184th-St-Bronx-NY-10468/29786104_zpid/ "
"100 W 57th St APT 3G, New York, NY 10019","$229,000","1 bd,1 ba,950 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-57th-St-APT-3G-New-York-NY-10019/2077882008_zpid/ "
"226 E 38th St, Brooklyn, NY 11203","$595,000","4 bds,2 ba,1,300 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/226-E-38th-St-Brooklyn-NY-11203/145591435_zpid/ "
"100 W 57th St PENTHOUSE H, New York, NY 10019","$121,000","Studio,1 ba,600 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-57th-St-PENTHOUSE-H-New-York-NY-10019/306707670_zpid/ "
"100 W 141st St APT 21, New York, NY 10030","$299,000","2 bds,1 ba,780 sqft- Condo for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/100-W-141st-St-APT-21-New-York-NY-10030/2105736985_zpid/ "
"755 Schenck Ave, Brooklyn, NY 11207","$300,000","9 bds,3 ba,2,976 sqft- Multi-family home for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/755-Schenck-Ave-Brooklyn-NY-11207/30647668_zpid/ "
"1611 Plymouth Ave #A, Bronx, NY 10461","$749,000","5 bds,4 ba,3,060 sqft- House for sale","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/1611-Plymouth-Ave-A-Bronx-NY-10461/2076844014_zpid/ "
