address,prices,beds,home_type
"<address class=""list-card-addr"">100 W 57th St #11R, New York, NY 10019</address>","<div class=""list-card-price"">$215,000</div>","<ul class=""list-card-details""><li class="""">1<abbr class=""list-card-label""> <!-- -->bd</abbr>,</li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">900<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: Douglas Elliman</p></div>"
"<address class=""list-card-addr"">2666 Miles Ave #P1, Bronx, NY 10465</address>","<div class=""list-card-price"">$289,000</div>","<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr>,</li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">1,234<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: Better Homes and Gardens Real Estate Rand Realty (347-202-4965)</p></div>"
"<address class=""list-card-addr"">303 E 57th St APT 32B, New York, NY 10022</address>","<div class=""list-card-price"">$445,000</div>","<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr>,</li><li class="""">3<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">1,800<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: Brown Harris Stevens (212-381-3372)</p></div>"
"<address class=""list-card-addr"">100 W 57th St #4B, New York, NY 10019</address>","<div class=""list-card-price"">$139,000</div>","<ul class=""list-card-details""><li class="""">Studio<!-- -->,</li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">600<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: Pergolotti Realty (917-415-6609)</p></div>"
"<address class=""list-card-addr"">100 W 57th St #19N, New York, NY 10019</address>","<div class=""list-card-price"">$219,000</div>","<ul class=""list-card-details""><li class="""">1<abbr class=""list-card-label""> <!-- -->bd</abbr>,</li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">900<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: Douglas Elliman (212-769-9838)</p></div>"
"<address class=""list-card-addr"">14 W 184th St, Bronx, NY 10468</address>","<div class=""list-card-price"">$399,000</div>","<ul class=""list-card-details""><li class="""">5<abbr class=""list-card-label""> <!-- -->bds</abbr>,</li><li class="""">4<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">2,268<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Multi-family home for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: RE/MAX Distinguished Hms.&amp;Prop (914-346-8255)</p></div>"
"<address class=""list-card-addr"">100 W 57th St APT 3G, New York, NY 10019</address>","<div class=""list-card-price"">$229,000</div>","<ul class=""list-card-details""><li class="""">1<abbr class=""list-card-label""> <!-- -->bd</abbr>,</li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">950<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: Pergolotti Realty (917-415-6609)</p></div>"
"<address class=""list-card-addr"">226 E 38th St, Brooklyn, NY 11203</address>","<div class=""list-card-price"">$595,000</div>","<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr>,</li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">1,300<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: Corcoran (347-608-7028)</p></div>"
"<address class=""list-card-addr"">100 W 57th St PENTHOUSE H, New York, NY 10019</address>","<div class=""list-card-price"">$121,000</div>","<ul class=""list-card-details""><li class="""">Studio<!-- -->,</li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">600<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: Pergolotti Realty (917-415-6609)</p></div>"
"<address class=""list-card-addr"">100 W 141st St APT 21, New York, NY 10030</address>","<div class=""list-card-price"">$299,000</div>","<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr>,</li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr>,</li><li class="""">780<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<div class=""list-card-footer""><p class=""list-card-extra-info"">Listing by: EXP Realty NYC (347-509-7439)</p></div>"
