Days;prices;Beds;Baths;Squares;Type;Address;Broker;links
No Days on Zillow;$215,000;1;1;900;Condo for sale;100 W 57th St #11R, New York, NY 10019;Douglas Elliman;  https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/
No Days on Zillow;$289,000;2;2;234;Condo for sale;2666 Miles Ave #P1, Bronx, NY 10465;Better Homes and Gardens Real Estate Rand Realty (347-202-4965);  https://www.zillow.com/homedetails/2666-Miles-Ave-P1-Bronx-NY-10465/29849704_zpid/
No Days on Zillow;$445,000;2;3;800;Condo for sale;303 E 57th St APT 32B, New York, NY 10022;Brown Harris Stevens (212-381-3372);  https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/
76 days on Zillow;$139,000;Studio;1;600;Condo for sale;100 W 57th St #4B, New York, NY 10019;Pergolotti Realty (917-415-6609);  https://www.zillow.com/homedetails/100-W-57th-St-4B-New-York-NY-10019/121231367_zpid/
209 days on Zillow;$219,000;1;1;900;Condo for sale;100 W 57th St #19N, New York, NY 10019;Douglas Elliman (212-769-9838);  https://www.zillow.com/homedetails/100-W-57th-St-19N-New-York-NY-10019/72519071_zpid/
No Days on Zillow;$399,000;5;4;268;Multi-family home for sale;14 W 184th St, Bronx, NY 10468;RE/MAX Distinguished Hms.&Prop (914-346-8255);  https://www.zillow.com/homedetails/14-W-184th-St-Bronx-NY-10468/29786104_zpid/
62 days on Zillow;$229,000;1;1;950;Condo for sale;100 W 57th St APT 3G, New York, NY 10019;Pergolotti Realty (917-415-6609);  https://www.zillow.com/homedetails/100-W-57th-St-APT-3G-New-York-NY-10019/2077882008_zpid/
No Days on Zillow;$595,000;4;2;300;House for sale;226 E 38th St, Brooklyn, NY 11203;Corcoran (347-608-7028);  https://www.zillow.com/homedetails/226-E-38th-St-Brooklyn-NY-11203/145591435_zpid/
7 days on Zillow;$121,000;Studio;1;600;Condo for sale;100 W 57th St PENTHOUSE H, New York, NY 10019;Pergolotti Realty (917-415-6609);  https://www.zillow.com/homedetails/100-W-57th-St-PENTHOUSE-H-New-York-NY-10019/306707670_zpid/
22 days on Zillow;$299,000;2;1;780;Condo for sale;100 W 141st St APT 21, New York, NY 10030;EXP Realty NYC (347-509-7439);  https://www.zillow.com/homedetails/100-W-141st-St-APT-21-New-York-NY-10030/2105736985_zpid/
